age,gender,split,final,nationality,size,weight
33,M,01:05:38,02:08:51,DE,183.41,84
32,M,01:06:26,02:09:28,DE,178.61,87.7
31,M,01:06:49,02:10:42,IT,171.94,82.2
38,M,01:06:16,02:13:45,IT,172.29,82.4
31,M,01:06:32,02:13:59,IT,178.59,79.8
31,M,01:06:13,02:14:11,DE,184.59,86.9
27,M,01:06:40,02:14:28,DE,181.43,84.7
31,M,01:06:31,02:15:16,DE,185,90
30,M,01:05:39,02:15:57,DE,183.7,85.6
30,M,01:05:40,02:16:39,IT,173.53,84.2
26,M,01:08:10,02:18:18,IT,173.09,77.7
29,M,01:05:54,02:18:52,AU,169.14,78.7
28,M,01:08:59,02:19:36,AU,173.08,79
24,M,01:09:16,02:19:45,AU,174.56,86.7
37,M,01:05:21,02:19:47,DE,180.9,86.2
25,M,01:09:52,02:20:17,AU,171.91,79.4
22,M,01:09:53,02:20:57,AU,173.73,79.7
30,M,01:05:40,02:21:17,DE,184.16,87.6
26,M,01:10:11,02:21:24,IT,167.18,80
36,M,01:10:35,02:21:55,DE,184.33,92.6
28,M,01:11:59,02:22:14,DE,182.55,85.2
31,M,01:05:54,02:22:20,IT,185.03,83.6
41,M,01:09:14,02:22:27,AU,179.24,83.5
24,M,01:11:18,02:22:55,IT,183.86,78.7
26,M,01:10:17,02:22:56,AU,174.29,82
36,M,01:06:39,02:23:31,IT,168.56,81.3
28,M,01:10:32,02:23:39,DE,182.97,85
29,M,01:12:25,02:23:48,AU,170.3,76
34,W,01:12:35,02:24:13,AU,147.14,48.2
31,M,01:14:07,02:25:19,DE,185.47,83.8
39,W,01:13:13,02:25:37,IT,153.28,47.8
29,M,01:09:59,02:25:38,AU,170.06,82.2
29,W,01:13:09,02:25:50,DE,156.26,61.7
31,M,01:13:24,02:25:56,IT,177.85,79.5
30,M,01:11:51,02:26:15,DE,185.93,89.7
30,M,01:08:34,02:26:36,DE,177.67,83
34,M,01:06:20,02:27:22,DE,179.7,87.9
27,M,01:12:23,02:27:24,IT,165.61,82.6
23,M,01:13:42,02:27:32,IT,168.17,80.9
37,M,01:12:10,02:28:08,IT,172.88,82.9
36,W,01:12:57,02:28:13,IT,155.17,48.6
27,W,01:13:07,02:28:27,AU,144.32,44.1
39,M,01:12:57,02:28:36,AU,176.76,85
38,M,01:13:08,02:28:51,IT,170.38,79.8
47,M,01:15:38,02:28:55,IT,169.32,80.8
36,W,01:13:00,02:28:56,IT,154.58,49.6
34,W,01:12:47,02:29:07,DE,155.8,56.4
24,W,01:13:39,02:29:10,DE,153.97,59.5
38,M,01:13:30,02:29:12,DE,182.39,84.5
35,M,01:12:52,02:29:15,DE,181.13,91.6
35,M,01:13:51,02:29:35,AU,171.84,77
39,M,01:12:41,02:29:35,AU,187.76,83.5
36,W,01:13:44,02:29:38,AU,144.77,43.4
33,M,01:13:40,02:29:52,DE,180.54,89
22,M,01:09:44,02:29:54,IT,173.97,80.1
22,M,01:09:35,02:30:10,DE,182.51,84.5
35,W,01:14:04,02:30:10,AU,144.71,48.1
32,M,01:13:37,02:30:12,AU,174.17,83.3
33,M,01:13:00,02:30:20,IT,180.88,84.6
34,W,01:13:28,02:30:20,IT,154.68,45.8
36,M,01:14:28,02:30:41,IT,168.57,81.1
31,W,01:14:39,02:30:45,IT,156.01,48
23,W,01:13:42,02:30:46,DE,154.95,57.1
32,W,01:13:51,02:30:52,AU,144.78,49
38,W,01:14:22,02:30:55,DE,155.77,60.9
31,M,01:13:13,02:31:01,IT,178.65,84.9
28,M,01:13:18,02:31:06,AU,169.67,80.5
37,W,01:13:29,02:31:06,DE,154.96,60.4
30,M,01:14:56,02:31:10,DE,179.86,87.9
27,M,01:13:52,02:31:13,IT,180.01,86.8
34,M,01:14:07,02:31:18,DE,180.28,91.1
44,M,01:16:36,02:31:18,IT,181.17,80.2
31,M,01:14:40,02:31:34,IT,170.69,82.2
30,M,01:14:40,02:31:41,DE,183.9,85.6
26,M,01:12:43,02:31:44,IT,174.98,82.8
29,M,01:07:09,02:31:49,AU,181.56,81.1
34,M,01:14:59,02:32:05,AU,174.06,83.8
34,M,01:13:46,02:32:09,DE,179.61,89
33,M,01:13:31,02:32:10,DE,183.21,88.3
29,M,01:07:27,02:32:12,AU,168.78,81.5
24,M,01:13:16,02:32:15,DE,181.29,84.3
28,M,01:14:04,02:32:15,IT,178.44,83.2
32,M,01:14:27,02:32:18,IT,172.55,76.9
33,M,01:15:59,02:32:27,DE,185.25,91.8
25,M,01:15:16,02:32:35,IT,178.43,83.1
31,M,01:12:43,02:32:36,AU,174.05,78.8
29,M,01:13:34,02:32:45,DE,182.08,92.6
33,M,01:12:57,02:32:54,DE,183.69,85.5
26,M,01:14:40,02:32:57,AU,170.92,81.4
31,M,01:15:02,02:33:15,IT,173.57,81.9
29,M,01:14:41,02:33:19,DE,176.17,80.3
27,M,01:15:06,02:33:24,IT,172.08,87
34,M,01:14:12,02:33:26,DE,183.38,87.1
44,M,01:15:40,02:33:30,IT,162.09,81.4
36,M,01:15:37,02:33:37,AU,175.43,81.9
44,M,01:16:08,02:33:45,IT,171.02,80.3
26,M,01:16:15,02:33:49,DE,183.98,86.2
42,M,01:15:33,02:33:53,IT,167.37,80.4
