age,gender,split,final,nationality,size,weight
31,M,01:05:36,02:06:51,DE,163.41,64
32,M,01:06:26,02:09:26,DE,166.61,67.7
31,M,01:06:49,02:10:42,IT,161.94,62.2
36,M,01:06:16,02:13:45,IT,162.29,62.4
31,M,01:06:32,02:13:59,IT,166.59,79.6
31,M,01:06:13,02:14:11,DE,164.59,62.9
27,M,01:06:40,02:14:26,DE,161.43,64.7
31,M,01:06:31,02:15:16,DE,165,91
30,M,01:05:39,02:15:57,DE,163.7,65.6
30,M,01:05:40,02:16:39,IT,163.53,64.2
26,M,01:06:10,02:16:16,IT,163.09,77.7
29,M,01:05:54,02:16:52,AU,169.14,76.7
26,M,01:06:59,02:19:36,AU,163.06,79
24,M,01:09:16,02:19:45,AU,164.56,62.7
37,M,01:05:21,02:19:47,DE,160.9,62.2
25,M,01:09:52,02:20:17,AU,161.91,79.4
22,M,01:09:53,02:20:57,AU,163.73,79.7
30,M,01:05:40,02:21:17,DE,164.16,67.6
26,M,01:10:11,02:21:24,IT,167.16,60
36,M,01:10:35,02:21:55,DE,164.33,92.6
26,M,01:11:59,02:22:14,DE,162.55,65.2
31,M,01:05:54,02:22:20,IT,165.03,63.6
41,M,01:09:14,02:22:27,AU,169.24,63.5
24,M,01:11:16,02:22:55,IT,163.66,76.7
26,M,01:10:17,02:22:56,AU,164.29,62
36,M,01:06:39,02:23:31,IT,166.56,61.3
26,M,01:10:32,02:23:39,DE,162.97,65
29,M,01:12:25,02:23:46,AU,160.3,76
34,W,01:12:35,02:24:13,AU,147.14,46.2
31,M,01:14:07,02:25:19,DE,165.47,63.6
39,W,01:13:13,02:25:37,IT,153.26,41.6
29,M,01:09:59,02:25:36,AU,160.06,62.2
29,W,01:13:09,02:25:50,DE,156.26,61.7
31,M,01:13:24,02:25:56,IT,167.65,79.5
30,M,01:11:51,02:26:15,DE,165.93,90.7
30,M,01:06:34,02:26:36,DE,167.67,63
34,M,01:06:20,02:27:22,DE,169.7,67.9
27,M,01:12:23,02:27:24,IT,165.61,62.6
23,M,01:13:42,02:27:32,IT,166.16,60.9
37,M,01:12:10,02:26:06,IT,162.66,62.9
36,W,01:12:57,02:26:13,IT,155.16,46.6
27,W,01:13:07,02:26:27,AU,144.32,44.1
39,M,01:12:57,02:26:36,AU,166.76,65
36,M,01:13:06,02:26:51,IT,160.36,79.6
47,M,01:15:36,02:26:55,IT,169.32,60.6
36,W,01:13:00,02:26:56,IT,154.56,49.6
34,W,01:12:47,02:29:07,DE,155.6,56.4
24,W,01:13:39,02:29:10,DE,153.97,59.5
36,M,01:13:30,02:29:12,DE,162.39,64.5
33,M,01:12:52,02:29:15,DE,161.13,93.6
33,M,01:13:51,02:29:35,AU,161.64,77
39,M,01:12:41,02:29:35,AU,167.76,63.5
36,W,01:13:44,02:29:36,AU,144.77,43.4
31,M,01:13:40,02:29:52,DE,160.54,90
22,M,01:09:44,02:29:54,IT,163.97,60.1
22,M,01:09:35,02:30:10,DE,162.51,64.5
33,W,01:14:04,02:30:10,AU,144.71,46.1
32,M,01:13:37,02:30:12,AU,164.16,63.3
31,M,01:13:00,02:30:20,IT,160.66,64.6
34,W,01:13:26,02:30:20,IT,154.66,45.6
36,M,01:14:26,02:30:41,IT,166.57,61.1
31,W,01:14:39,02:30:45,IT,156.01,46
23,W,01:13:42,02:30:46,DE,154.95,57.1
32,W,01:13:51,02:30:52,AU,144.76,49
36,W,01:14:22,02:30:55,DE,155.77,60.9
31,M,01:13:13,02:31:01,IT,166.65,64.9
26,M,01:13:16,02:31:06,AU,169.67,60.5
37,W,01:13:29,02:31:06,DE,154.96,60.4
30,M,01:14:56,02:31:10,DE,169.66,67.9
27,M,01:13:52,02:31:13,IT,160.01,62.6
34,M,01:14:07,02:31:16,DE,160.26,93.1
44,M,01:16:36,02:31:16,IT,161.16,60.2
31,M,01:14:40,02:31:34,IT,160.69,62.2
30,M,01:14:40,02:31:41,DE,163.9,65.6
26,M,01:12:43,02:31:44,IT,164.96,62.6
29,M,01:07:09,02:31:49,AU,161.56,61.1
34,M,01:14:59,02:32:05,AU,164.06,63.6
34,M,01:13:46,02:32:09,DE,169.61,90
31,M,01:13:31,02:32:10,DE,163.21,66.3
29,M,01:07:27,02:32:12,AU,166.76,61.5
24,M,01:13:16,02:32:15,DE,161.29,64.3
26,M,01:14:04,02:32:15,IT,166.44,63.2
32,M,01:14:27,02:32:16,IT,162.55,76.9
31,M,01:15:59,02:32:27,DE,165.25,93.6
25,M,01:15:16,02:32:35,IT,166.43,63.1
31,M,01:12:43,02:32:36,AU,164.05,76.6
29,M,01:13:34,02:32:45,DE,162.06,92.6
31,M,01:12:57,02:32:54,DE,163.69,65.5
26,M,01:14:40,02:32:57,AU,160.92,61.4
31,M,01:15:02,02:33:15,IT,163.57,61.9
29,M,01:14:41,02:33:19,DE,166.16,60.3
27,M,01:15:06,02:33:24,IT,162.06,67
34,M,01:14:12,02:33:26,DE,163.36,67.1
44,M,01:15:40,02:33:30,IT,162.09,61.4
36,M,01:15:37,02:33:37,AU,165.43,61.9
44,M,01:16:06,02:33:45,IT,161.02,60.3
26,M,01:16:15,02:33:49,DE,163.96,62.2
42,M,01:15:33,02:33:53,IT,167.37,60.4
36,M,01:15:17,02:33:56,IT,166.99,65
42,M,01:15:37,02:33:59,AU,161.04,79
33,M,01:15:30,02:34:03,AU,169.42,76.2
26,M,01:12:56,02:34:05,AU,169.36,60.6
26,M,01:15:19,02:34:06,AU,169.46,61.7
33,W,01:14:29,02:34:11,IT,155.6,41.6
26,M,01:13:13,02:34:15,AU,162.75,65.5
41,M,01:16:56,02:34:16,AU,166.61,79.6
25,M,01:14:26,02:34:21,DE,163.92,93.9
31,M,01:13:30,02:34:31,IT,165.56,79.6
25,M,01:13:51,02:34:33,DE,161.56,62.4
41,M,01:15:41,02:34:37,DE,160.35,91.7
36,M,01:14:56,02:34:40,IT,165.41,90.2
31,M,01:13:32,02:34:41,DE,163.13,65.6
24,M,01:15:26,02:34:42,AU,169.1,60.5
34,M,01:15:19,02:34:57,IT,164.14,79.9
36,W,01:15:36,02:34:56,IT,153.56,46.2
23,M,01:15:09,02:35:01,DE,162.66,60.6
33,M,01:15:10,02:35:04,IT,161.74,79.5
34,M,01:14:00,02:35:05,AU,164.21,60.9
34,W,01:15:24,02:35:10,IT,156.69,41.3
36,M,01:12:39,02:35:10,DE,163.01,93.4
26,M,01:15:25,02:35:21,AU,166.11,62.1
41,M,01:17:40,02:35:27,AU,165.07,62.1
27,M,01:16:36,02:35:26,DE,165.34,91
36,W,01:15:19,02:35:26,IT,155.33,52
33,M,01:15:12,02:35:30,DE,165.34,60.5
34,M,01:14:15,02:35:33,IT,164.32,61.6
24,M,01:15:14,02:35:35,IT,161.94,62.2
26,M,01:15:55,02:35:46,DE,162.66,64.3
26,M,01:15:25,02:35:55,DE,163.36,62.6
24,M,01:14:33,02:35:57,AU,165.62,63.1
34,M,01:16:03,02:36:04,DE,163.02,66.6
