location;time_of_measurement;counted_pedestrians;type;incidents
Münsterplatz , Ulm;2019-10-01 08:49:00 +0200;23;regular;Laserausfall
Münsterplatz , Ulm;2019-10-01 08:53:00 +0200;2;regular;Laserausfall
Münsterplatz , Ulm;2019-10-01 08:54:00 +0200;39;regular;Laserausfall
Münsterplatz , Ulm;2019-10-01 08:57:00 +0200;1;regular;Laserausfall
Münsterplatz , Ulm;2019-10-01 08:59:00 +0200;40;regular;Laserausfall
Münsterplatz , Ulm;2019-10-01 09:04:00 +0200;52;regular;""
Münsterplatz , Ulm;2019-10-01 09:07:00 +0200;7;regular;""
Münsterplatz , Ulm;2019-10-01 09:09:00 +0200;47;regular;""
Münsterplatz , Ulm;2019-10-01 09:13:00 +0200;2;regular;""
Münsterplatz , Ulm;2019-10-01 09:14:00 +0200;45;regular;""
Münsterplatz , Ulm;2019-10-01 09:16:00 +0200;1;regular;""
Münsterplatz , Ulm;2019-10-01 09:19:00 +0200;41;regular;""
Münsterplatz , Ulm;2019-10-01 09:24:00 +0200;48;regular;""
Münsterplatz , Ulm;2019-10-01 09:26:00 +0200;2;regular;""
Münsterplatz , Ulm;2019-10-01 09:29:00 +0200;64;regular;""
Münsterplatz , Ulm;2019-10-01 09:31:00 +0200;1;regular;""
Münsterplatz , Ulm;2019-10-01 09:34:00 +0200;63;regular;""
Münsterplatz , Ulm;2019-10-01 09:36:00 +0200;4;regular;""
Münsterplatz , Ulm;2019-10-01 09:39:00 +0200;83;regular;""
Münsterplatz , Ulm;2019-10-01 09:42:00 +0200;3;regular;""
Münsterplatz , Ulm;2019-10-01 09:44:00 +0200;60;regular;""
Münsterplatz , Ulm;2019-10-01 09:49:00 +0200;85;regular;""
Münsterplatz , Ulm;2019-10-01 09:50:00 +0200;1;regular;""
Münsterplatz , Ulm;2019-10-01 09:54:00 +0200;65;regular;""
Münsterplatz , Ulm;2019-10-01 09:59:00 +0200;70;regular;""
Münsterplatz , Ulm;2019-10-01 10:04:00 +0200;69;regular;""
Münsterplatz , Ulm;2019-10-01 10:09:00 +0200;60;regular;""
Münsterplatz , Ulm;2019-10-01 10:14:00 +0200;88;regular;""
Münsterplatz , Ulm;2019-10-01 10:17:00 +0200;8;regular;""
Münsterplatz , Ulm;2019-10-01 10:19:00 +0200;76;regular;""
Münsterplatz , Ulm;2019-10-01 10:24:00 +0200;76;regular;""
Münsterplatz , Ulm;2019-10-01 10:29:00 +0200;88;regular;""
Münsterplatz , Ulm;2019-10-01 10:31:00 +0200;1;regular;""
Münsterplatz , Ulm;2019-10-01 10:34:00 +0200;85;regular;""
Münsterplatz , Ulm;2019-10-01 10:39:00 +0200;99;regular;""
Münsterplatz , Ulm;2019-10-01 10:44:00 +0200;103;regular;""
Münsterplatz , Ulm;2019-10-01 10:49:00 +0200;107;regular;""
Münsterplatz , Ulm;2019-10-01 10:54:00 +0200;89;regular;""
Münsterplatz , Ulm;2019-10-01 10:58:00 +0200;4;regular;""
Münsterplatz , Ulm;2019-10-01 10:59:00 +0200;76;regular;""
Münsterplatz , Ulm;2019-10-01 11:04:00 +0200;98;regular;""
Münsterplatz , Ulm;2019-10-01 11:07:00 +0200;6;regular;""
Münsterplatz , Ulm;2019-10-01 11:09:00 +0200;98;regular;""
Münsterplatz , Ulm;2019-10-01 11:13:00 +0200;3;regular;""
Münsterplatz , Ulm;2019-10-01 11:14:00 +0200;113;regular;""
Münsterplatz , Ulm;2019-10-01 11:19:00 +0200;112;regular;""
Münsterplatz , Ulm;2019-10-01 11:23:00 +0200;5;regular;""
Münsterplatz , Ulm;2019-10-01 11:24:00 +0200;110;regular;""
