location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents
Münsterplatz , Ulm;2021-02-15 00:00:00 +0100;Monday;6015;1;partly-cloudy-day;
Münsterplatz , Ulm;2021-02-16 00:00:00 +0100;Tuesday;7264;7;rain;
Münsterplatz , Ulm;2021-02-17 00:00:00 +0100;Wednesday;10508;10;rain;
Münsterplatz , Ulm;2021-02-18 00:00:00 +0100;Thursday;8105;9;cloudy;
Münsterplatz , Ulm;2021-02-19 00:00:00 +0100;Friday;9005;11;rain;
Münsterplatz , Ulm;2021-02-20 00:00:00 +0100;Saturday;19486;14;partly-cloudy-day;
Münsterplatz , Ulm;2021-02-21 00:00:00 +0100;Sunday;7207;13;clear-day;
Münsterplatz , Ulm;2021-02-22 00:00:00 +0100;Monday;8017;16;partly-cloudy-day;
Münsterplatz , Ulm;2021-02-23 00:00:00 +0100;Tuesday;9216;18;clear-day;
Münsterplatz , Ulm;2021-02-24 00:00:00 +0100;Wednesday;12385;19;clear-day;
Münsterplatz , Ulm;2021-02-25 00:00:00 +0100;Thursday;10070;19;clear-day;
Münsterplatz , Ulm;2021-02-26 00:00:00 +0100;Friday;10207;15;partly-cloudy-day;
Münsterplatz , Ulm;2021-02-27 00:00:00 +0100;Saturday;17848;8;partly-cloudy-day;
Münsterplatz , Ulm;2021-02-28 00:00:00 +0100;Sunday;6213;8;clear-day;
Münsterplatz , Ulm;2021-03-01 00:00:00 +0100;Monday;9269;11;clear-day;
Münsterplatz , Ulm;2021-03-02 00:00:00 +0100;Tuesday;9636;14;clear-day;
Münsterplatz , Ulm;2021-03-03 00:00:00 +0100;Wednesday;11083;16;partly-cloudy-day;
Münsterplatz , Ulm;2021-03-04 00:00:00 +0100;Thursday;8442;14;rain;
Münsterplatz , Ulm;2021-03-05 00:00:00 +0100;Friday;7283;7;rain;
Münsterplatz , Ulm;2021-03-06 00:00:00 +0100;Saturday;17160;6;clear-day;
Münsterplatz , Ulm;2021-03-07 00:00:00 +0100;Sunday;5433;10;clear-day;
Münsterplatz , Ulm;2021-03-08 00:00:00 +0100;Monday;9115;7;partly-cloudy-day;
Münsterplatz , Ulm;2021-03-09 00:00:00 +0100;Tuesday;8585;7;partly-cloudy-day;
Münsterplatz , Ulm;2021-03-10 00:00:00 +0100;Wednesday;11259;9;partly-cloudy-day;
Münsterplatz , Ulm;2021-03-11 00:00:00 +0100;Thursday;6703;13;rain;
Münsterplatz , Ulm;2021-03-12 00:00:00 +0100;Friday;10415;10;rain;
Münsterplatz , Ulm;2021-03-13 00:00:00 +0100;Saturday;13688;11;rain;
Münsterplatz , Ulm;2021-03-14 00:00:00 +0100;Sunday;3508;6;rain;
Münsterplatz , Ulm;2021-03-15 00:00:00 +0100;Monday;7161;6;rain;
Münsterplatz , Ulm;2021-03-16 00:00:00 +0100;Tuesday;7731;6;rain;
Münsterplatz , Ulm;2021-03-17 00:00:00 +0100;Wednesday;9929;5;rain;
Münsterplatz , Ulm;2021-03-18 00:00:00 +0100;Thursday;8831;5;snow;
Münsterplatz , Ulm;2021-03-19 00:00:00 +0100;Friday;8556;4;snow;
Münsterplatz , Ulm;2021-03-20 00:00:00 +0100;Saturday;17462;3;partly-cloudy-day;
Münsterplatz , Ulm;2021-03-21 00:00:00 +0100;Sunday;3570;5;snow;
Münsterplatz , Ulm;2021-03-22 00:00:00 +0100;Monday;7609;5;rain;
Münsterplatz , Ulm;2021-03-23 00:00:00 +0100;Tuesday;8298;8;partly-cloudy-day;
Münsterplatz , Ulm;2021-03-24 00:00:00 +0100;Wednesday;13162;13;clear-day;
Münsterplatz , Ulm;2021-03-25 00:00:00 +0100;Thursday;9872;16;partly-cloudy-day;
Münsterplatz , Ulm;2021-03-26 00:00:00 +0100;Friday;12350;17;partly-cloudy-day;
Münsterplatz , Ulm;2021-03-27 00:00:00 +0100;Saturday;18864;10;rain;
Münsterplatz , Ulm;2021-03-28 00:00:00 +0100;Sunday;6396;15;partly-cloudy-day;
Münsterplatz , Ulm;2021-03-29 00:00:00 +0200;Monday;11571;20;partly-cloudy-day;
Münsterplatz , Ulm;2021-03-30 00:00:00 +0200;Tuesday;11348;22;partly-cloudy-day;
Münsterplatz , Ulm;2021-03-31 00:00:00 +0200;Wednesday;15547;23;partly-cloudy-day;
Münsterplatz , Ulm;2021-04-01 00:00:00 +0200;Thursday;11463;22;partly-cloudy-day;
Münsterplatz , Ulm;2021-04-02 00:00:00 +0200;Friday;5400;14;partly-cloudy-day;
Münsterplatz , Ulm;2021-04-03 00:00:00 +0200;Saturday;14930;9;partly-cloudy-day;
Münsterplatz , Ulm;2021-04-04 00:00:00 +0200;Sunday;5000;12;clear-day;
