location;time_of_measurement;counted_pedestrians;type;incidents
Münsterplatz , Ulm;2020-03-02 00:04:11 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-02 00:18:00 +0100;2;regular;""
Münsterplatz , Ulm;2020-03-02 00:33:57 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-02 00:39:34 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-02 00:58:24 +0100;2;regular;""
Münsterplatz , Ulm;2020-03-02 01:28:59 +0100;2;regular;""
Münsterplatz , Ulm;2020-03-02 01:44:14 +0100;2;regular;""
Münsterplatz , Ulm;2020-03-02 02:22:46 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-02 02:33:16 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-02 03:01:40 +0100;2;regular;""
Münsterplatz , Ulm;2020-03-02 03:13:02 +0100;3;regular;""
Münsterplatz , Ulm;2020-03-02 03:32:58 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-02 03:57:26 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-02 04:29:39 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-02 04:44:55 +0100;3;regular;""
Münsterplatz , Ulm;2020-03-02 04:58:56 +0100;5;regular;""
Münsterplatz , Ulm;2020-03-02 05:09:23 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-02 05:24:31 +0100;2;regular;""
Münsterplatz , Ulm;2020-03-02 05:25:46 +0100;2;regular;""
Münsterplatz , Ulm;2020-03-02 05:38:24 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-02 05:44:31 +0100;2;regular;""
Münsterplatz , Ulm;2020-03-02 05:48:02 +0100;5;regular;""
Münsterplatz , Ulm;2020-03-02 05:54:15 +0100;4;regular;""
Münsterplatz , Ulm;2020-03-02 05:59:00 +0100;2;regular;""
Münsterplatz , Ulm;2020-03-02 05:59:35 +0100;6;regular;""
Münsterplatz , Ulm;2020-03-02 06:03:15 +0100;3;regular;""
Münsterplatz , Ulm;2020-03-02 06:06:36 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-02 06:07:00 +0100;3;regular;""
Münsterplatz , Ulm;2020-03-02 06:14:49 +0100;4;regular;""
Münsterplatz , Ulm;2020-03-02 06:19:58 +0100;3;regular;""
Münsterplatz , Ulm;2020-03-02 06:24:33 +0100;6;regular;""
Münsterplatz , Ulm;2020-03-02 06:29:49 +0100;3;regular;""
Münsterplatz , Ulm;2020-03-02 06:33:51 +0100;4;regular;""
Münsterplatz , Ulm;2020-03-02 06:38:44 +0100;7;regular;""
Münsterplatz , Ulm;2020-03-02 06:44:34 +0100;4;regular;""
Münsterplatz , Ulm;2020-03-02 06:47:30 +0100;5;regular;""
Münsterplatz , Ulm;2020-03-02 06:54:47 +0100;8;regular;""
Münsterplatz , Ulm;2020-03-02 06:59:23 +0100;10;regular;""
Münsterplatz , Ulm;2020-03-02 07:04:21 +0100;7;regular;""
Münsterplatz , Ulm;2020-03-02 07:09:47 +0100;15;regular;""
Münsterplatz , Ulm;2020-03-02 07:14:58 +0100;24;regular;""
Münsterplatz , Ulm;2020-03-02 07:19:51 +0100;17;regular;""
Münsterplatz , Ulm;2020-03-02 07:24:25 +0100;27;regular;""
Münsterplatz , Ulm;2020-03-02 07:29:45 +0100;21;regular;""
